2024-10-24 07:47:30: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 07:47:09')
2024-10-24 08:04:39: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:04:30')
2024-10-24 08:09:05: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:08:56')
2024-10-24 08:09:30: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:09:20')
2024-10-24 08:13:10: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:13:01')
2024-10-24 08:15:52: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:15:43')
2024-10-24 08:19:47: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:19:38')
2024-10-24 08:29:47: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:29:38')
2024-10-24 08:29:52: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:29:38')
2024-10-24 08:29:57: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:29:38')
2024-10-24 08:30:02: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:29:38')
2024-10-24 08:30:20: ('2', 5.55, 18.24, 10.6, 'N/sec', '2024-10-24 08:29:38')
2024-10-24 08:30:25: ('3', 5.7, 18.13, 11.6, 'N/sec', '2024-10-24 08:29:38')
2024-10-24 08:30:30: ('4', 5.57, 18.17, 11.7, 'N/sec', '2024-10-24 08:29:38')
2024-10-24 08:30:35: ('5', 5.63, 18.19, 12.0, 'N/sec', '2024-10-24 08:29:38')
2024-10-24 08:37:05: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:36:55')
2024-10-24 08:37:10: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:36:55')
2024-10-24 08:37:15: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:36:55')
2024-10-24 08:37:20: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:36:55')
2024-10-24 08:38:41: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:38:46: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:38:51: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:38:56: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:39:12: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:39:17: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:39:22: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:39:27: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:38:27')
2024-10-24 08:42:36: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:42:27')
2024-10-24 08:42:41: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:42:27')
2024-10-24 08:42:46: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:42:27')
2024-10-24 08:42:51: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:42:27')
2024-10-24 08:53:44: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:53:35')
2024-10-24 08:53:49: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:53:35')
2024-10-24 08:53:54: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:53:35')
2024-10-24 08:53:59: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:53:35')
2024-10-24 08:54:52: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:54:57: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:02: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:07: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:40: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:45: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:50: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 08:54:43')
2024-10-24 08:55:55: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 08:54:43')
