2024-10-17 14:55:07: ('1', 5.52, 18.18, 10.9, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 14:55:07: 1, 5.52, 18.18, 10.9, 17.10.24, 2024-10-17 14:54:07
2024-10-17 14:55:35: ('2', 5.55, 18.11, 10.9, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 14:55:35: 2, 5.55, 18.11, 10.9, 17.10.24, 2024-10-17 14:54:07
2024-10-17 14:56:06: ('3', 5.55, 18.22, 10.6, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 14:56:06: 3, 5.55, 18.22, 10.6, 17.10.24, 2024-10-17 14:54:07
2024-10-17 14:56:38: ('4', 5.56, 18.17, 11.5, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 14:56:38: 4, 5.56, 18.17, 11.5, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:04:17: ('1', 5.53, 18.19, 11.3, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:04:17: 1, 5.53, 18.19, 11.3, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:04:46: ('2', 5.58, 18.1, 11.2, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:04:46: 2, 5.58, 18.1, 11.2, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:05:17: ('3', 5.51, 18.1, 10.8, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:05:17: 3, 5.51, 18.1, 10.8, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:05:49: ('4', 5.58, 18.17, 10.9, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:05:49: 4, 5.58, 18.17, 10.9, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:06:21: ('5', 5.51, 18.17, 11.0, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:06:21: 5, 5.51, 18.17, 11.0, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:06:52: ('6', 5.52, 18.17, 11.8, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:06:52: 6, 5.52, 18.17, 11.8, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:07:24: ('7', 5.53, 18.09, 11.0, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:07:24: 7, 5.53, 18.09, 11.0, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:07:56: ('8', 5.49, 18.19, 10.9, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:07:56: 8, 5.49, 18.19, 10.9, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:08:28: ('9', 5.55, 18.11, 11.6, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:08:28: 9, 5.55, 18.11, 11.6, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:08:59: ('10', 5.51, 18.11, 11.1, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:08:59: 10, 5.51, 18.11, 11.1, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:10:06: ('1', 5.52, 18.14, 11.2, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:10:06: 1, 5.52, 18.14, 11.2, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:10:33: ('2', 5.52, 18.1, 11.4, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:10:33: 2, 5.52, 18.1, 11.4, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:11:05: ('3', 5.57, 18.12, 11.5, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:11:05: 3, 5.57, 18.12, 11.5, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:11:37: ('4', 5.54, 18.18, 11.3, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:11:37: 4, 5.54, 18.18, 11.3, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:12:08: ('5', 5.56, 18.09, 11.4, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:12:08: 5, 5.56, 18.09, 11.4, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:12:57: ('6', 5.53, 18.12, 11.0, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:12:57: 6, 5.53, 18.12, 11.0, 17.10.24, 2024-10-17 14:54:07
2024-10-17 15:13:29: ('7', 5.53, 18.14, 11.0, '17.10.24', '2024-10-17 14:54:07')
2024-10-17 15:13:29: 7, 5.53, 18.14, 11.0, 17.10.24, 2024-10-17 14:54:07
