2025-01-20 12:44:40: {'h_value': '11.6', 'd_value': '18.17', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '12:44:40', 'created_date': '2025-01-20'}
2025-01-20 12:44:43: {'h_value': '10.6', 'd_value': '18.24', 't_value': '5.55', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '12:44:43', 'created_date': '2025-01-20'}
2025-01-20 12:44:46: {'h_value': '11.6', 'd_value': '18.13', 't_value': '5.70', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '12:44:46', 'created_date': '2025-01-20'}
2025-01-20 12:44:49: {'h_value': '11.7', 'd_value': '18.17', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '12:44:49', 'created_date': '2025-01-20'}
2025-01-20 12:44:52: {'h_value': '12.0', 'd_value': '18.19', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '12:44:52', 'created_date': '2025-01-20'}
2025-01-23 09:20:33: {'h_value': '11.6', 'd_value': '18.17', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '09:20:33', 'created_date': '2025-01-23'}
2025-01-23 09:20:36: {'h_value': '10.6', 'd_value': '18.24', 't_value': '5.55', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '09:20:36', 'created_date': '2025-01-23'}
2025-01-23 09:20:39: {'h_value': '11.6', 'd_value': '18.13', 't_value': '5.70', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '09:20:39', 'created_date': '2025-01-23'}
2025-01-23 09:20:42: {'h_value': '11.7', 'd_value': '18.17', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '09:20:42', 'created_date': '2025-01-23'}
2025-01-23 09:20:45: {'h_value': '12.0', 'd_value': '18.19', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '09:20:45', 'created_date': '2025-01-23'}
2025-01-23 10:33:05: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:33:05', 'created_date': '2025-01-23'}
2025-01-23 10:33:10: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:33:10', 'created_date': '2025-01-23'}
2025-01-23 10:33:15: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:33:15', 'created_date': '2025-01-23'}
2025-01-23 10:33:21: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:33:20', 'created_date': '2025-01-23'}
2025-01-23 10:33:25: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:33:25', 'created_date': '2025-01-23'}
2025-01-23 10:33:30: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:33:30', 'created_date': '2025-01-23'}
2025-01-23 10:33:35: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:33:35', 'created_date': '2025-01-23'}
2025-01-23 10:33:40: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:33:40', 'created_date': '2025-01-23'}
2025-01-23 10:33:45: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:33:45', 'created_date': '2025-01-23'}
2025-01-23 10:34:09: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:34:09', 'created_date': '2025-01-23'}
2025-01-23 10:34:14: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:34:14', 'created_date': '2025-01-23'}
2025-01-23 10:34:19: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:34:19', 'created_date': '2025-01-23'}
2025-01-23 10:34:24: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:34:24', 'created_date': '2025-01-23'}
2025-01-23 10:34:29: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:34:29', 'created_date': '2025-01-23'}
2025-01-23 10:34:34: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:34:34', 'created_date': '2025-01-23'}
2025-01-23 10:34:39: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:34:39', 'created_date': '2025-01-23'}
2025-01-23 10:34:44: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:34:44', 'created_date': '2025-01-23'}
2025-01-23 10:34:49: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:34:49', 'created_date': '2025-01-23'}
2025-01-23 10:35:12: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:35:12', 'created_date': '2025-01-23'}
2025-01-23 10:35:17: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:35:17', 'created_date': '2025-01-23'}
2025-01-23 10:35:22: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:35:22', 'created_date': '2025-01-23'}
2025-01-23 10:35:27: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:35:27', 'created_date': '2025-01-23'}
2025-01-23 10:35:32: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:35:32', 'created_date': '2025-01-23'}
2025-01-23 10:35:37: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:35:37', 'created_date': '2025-01-23'}
2025-01-23 10:35:42: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:35:42', 'created_date': '2025-01-23'}
2025-01-23 10:35:47: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:35:47', 'created_date': '2025-01-23'}
2025-01-23 10:35:52: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:35:52', 'created_date': '2025-01-23'}
2025-01-23 10:36:15: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:36:15', 'created_date': '2025-01-23'}
2025-01-23 10:36:20: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:36:20', 'created_date': '2025-01-23'}
2025-01-23 10:36:25: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:36:25', 'created_date': '2025-01-23'}
2025-01-23 10:36:30: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:36:30', 'created_date': '2025-01-23'}
2025-01-23 10:36:35: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:36:35', 'created_date': '2025-01-23'}
2025-01-23 10:36:40: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:36:40', 'created_date': '2025-01-23'}
2025-01-23 10:36:45: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:36:45', 'created_date': '2025-01-23'}
2025-01-23 10:36:50: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:36:50', 'created_date': '2025-01-23'}
