FILTER KE DATA TERBARU;
"2024-12-21 11:03:01,348 [ERROR]";
"2024-12-21 11:02:56,280 [ERROR]";
"2024-12-21 11:02:51,053 [ERROR]";
"2024-12-21 11:02:45,805 [ERROR]";
"2024-12-21 10:59:29,867 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)";
"2024-12-21 10:59:24,808 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)";
"2024-12-21 10:59:19,599 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)";
2024-12-21 11:19:08,886 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:14,154 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:19,156 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:24,170 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:29,174 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:34,180 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:39,181 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:44,184 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:49,194 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:54,208 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:19:59,210 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:04,212 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:09,219 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:14,223 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:19,237 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:24,244 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:29,256 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:34,266 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:39,277 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:20:44,280 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
